,MES,,,,,MNQ,,,,, M2K,,,,,MGC,,,,,MCL,,,,,,,,,,,,MES,,,,,MNQ,,,,, M2K,,,,,MGC,,,,,MCL,,,
,ES,,,,,NQ,,,,,RTY,,,,,GC,,,,,CL,,,,,,,,,,,,ES,,,,,NQ,,,,,RTY,,,,,GC,,,,,CL,,,
,Strike,,C,P,,Strike,,C,P,,Strike,,C,P,,Strike,,C,P,,Strike,,C,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,P
,,,,,,,,,,,,,,,,3280,,,39,,,,,,,Other Info,,,,,,,,,,,,,,,,,,,,,,3300,,,15,,,,,
,6205,,,202,,23150,,8,60,,,,,,,3285,,,240,,,,,,,,MES,MNQ,MGC,M2K,MCL,,6205,,,1,,23150,,1,6,,,,,,,3305,,,2,,,,,
,6210,,,174,,23160,,6,3,,,,,,,3290,,,59,,,,,,,-1 Dev,6433.34,23426.46,,,,,6210,,,1,,23160,,1,0,,,,,,,3310,,,8,,,,,
,6215,,,142,,23170,,6,29,,,,,,,3295,,,21,,,,,,,1 Dev,6468.66,23540.57,,,,,6215,,,1,,23170,,1,3,,,,,,,3315,,,36,,,,,
,6220,,1,253,,23175,,15,8,,,,,,,3300,,,183,,,,,,,-2 Dev,6415.76,23369.62,,,,,6220,,0,2,,23175,,2,1,,,,,,,3320,,2,87,,,,,
,6225,,1,1296,,23180,,3,23,,,,,,,3305,,,16,,,,,,,2 Dev,6486.38,23597.79,,,,,6225,,0,13,,23180,,0,2,,,,,,,3325,,2,29,,,,,
,6230,,5,82,,23190,,8,10,,,,,,,3310,,,58,,,,,,,-3 Dev,6398.23,23312.92,,,,,6230,,0,1,,23190,,1,1,,,,,,,3330,,,58,,,,,
,6235,,,21,,23200,,15,90,,,,,,,3315,,,206,,,,,,,3 Dev,6504.16,23655.18,,,,,6235,,,0,,23200,,2,11,,,,,,,3335,,,9,,,,,
,6240,,5,312,,23210,,10,6,,,,,,,3320,,9,406,,,,,,,Put %,56,36,#DIV/0!,54,#DIV/0!,,6240,,0,4,,23210,,1,1,,,,,,,3340,,1,56,,,,,
,6245,,,838,,23220,,10,8,,,,,,,3325,,6,111,,,,,,,Call %,44,64,#DIV/0!,46,#DIV/0!,,6245,,,10,,23220,,1,1,,,,,,,3345,,,83,,,,,
,6250,,10,494,,23225,,6,25,,,,,,,3330,,,192,,,,,,,Gamma Flip,#N/A,23650,#N/A,#N/A,#N/A,,6250,,0,6,,23225,,1,3,,,,,,,3350,,11,111,,,,,
,6255,,,162,,23230,,5,7,,,,,,,3335,,,25,,,,,,,,,,,,,,6255,,,2,,23230,,1,1,,,,,,,3355,,40,37,,,,,
,6260,,,109,,23240,,7,4,,,,,,,3340,,2,142,,,,,,,Last Modified,,,,,,,6260,,,1,,23240,,1,1,,,,,,,3360,,25,30,,,,,
,6265,,,229,,23250,,20,75,,,,,,,3345,,,192,,,,,,,Insturment,Date,Time (est),User,,,,6265,,,3,,23250,,3,12,,,,,,,3365,,14,8,,,,,
,6270,,35,354,,23260,,15,20,,,,,,,3350,,24,241,,,,,,,MES,8/26/25,8:55,Donley,,,,6270,,1,5,,23260,,2,3,,,,,,,3370,,95,65,,,,,
,6275,,39,301,,23270,,21,23,,,,,,,3355,,84,77,,,,,,,MNQ,8/25/25,9:25,Donley,,,,6275,,1,5,,23270,,4,4,,,,,,,3375,,111,9,,,,,
,6280,,6,822,,23275,,20,14,,,,,,,3360,,53,64,,,,,,,M2K,7/2/25,9:25,Todd ,,,,6280,,0,13,,23275,,4,2,,,,,,,3380,,55,17,,,,,
,6285,,2,620,,23280,,12,5,,,,,,,3365,,30,17,,,,,,,MGC,8/18/25,10:09,Todd,,,,6285,,0,10,,23280,,2,1,,,,,,,3385,,29,3,,,,,
,6290,,15,156,,23290,,9,9,,,,,,,3370,,224,153,,,,,,,MCL,7/18/25,9:30,Todd,,,,6290,,0,3,,23290,,2,2,,,,,,,3390,,23,3,,,,,
,6295,,4,315,,23300,,27,78,,,,,,,3375,,294,25,,,,,,,,,,,,,,6295,,0,6,,23300,,5,16,,,,,,,3395,,40,1,,,,,
,6300,,33,1337,,23310,,26,9,,,,,,,3380,,169,52,,,,,,,CME Group QuikStrike,,,,,,,6300,,1,26,,23310,,5,2,,,,,,,3400,,40,3,,,,,
,6305,,14,388,,23320,,20,9,,,,,,,3385,,105,10,,,,,,,,,,,,,,6305,,0,9,,23320,,4,2,,,,,,,3405,,4,1,,,,,
,6310,,26,307,,23325,,12,17,,,,,,,3390,,105,14,,,,,,,,,,,,,,6310,,1,8,,23325,,3,4,,,,,,,3410,,13,0,,,,,
,6315,,6,299,,23330,,23,8,,,,,,,3395,,219,5,,,,,,,,,,,,,,6315,,0,8,,23330,,5,2,,,,,,,3415,,17,0,,,,,
,6320,,26,538,,23340,,10,10,,,,,,,3400,,276,21,,,,,,,,,,,,,,6320,,1,15,,23340,,2,2,,,,,,,3420,,2,2,,,,,
,6325,,2,630,,23350,,39,49,,,,,,,3405,,37,7,,,,,,,,,,,,,,6325,,0,19,,23350,,10,13,,,,,,,3425,,5,0,,,,,
,6330,,32,296,,23360,,9,7,,,,,,,3410,,138,3,,,,,,,,,,,,,,6330,,1,9,,23360,,2,2,,,,,,,3430,,4,1,,,,,
,6335,,15,52,,23370,,12,17,,,,,,,3415,,221,1,,,,,,,,,,,,,,6335,,1,2,,23370,,3,5,,,,,,,,,,,,,,,
,6340,,28,261,,23375,,29,10,,,,,,,3420,,27,34,,,,,,,,,,,,,,6340,,1,11,,23375,,8,3,,,,,,,,,,,,,,,
,6345,,4,348,,23380,,18,3,,,,,,,3425,,120,1,,,,,,,,,,,,,,6345,,0,17,,23380,,5,1,,,,,,,,,,,,,,,
,6350,,25,1596,,23390,,20,6,,,,,,,3430,,104,38,,,,,,,,,,,,,,6350,,1,83,,23390,,6,2,,,,,,,,,,,,,,,
,6355,,9,523,,23400,,93,45,,,,,,,,,,,,,,,,,,,,,,,,6355,,1,32,,23400,,30,14,,,,,,,,,,,,,,,
,6360,,23,436,,23410,,13,6,,,,,,,,,,,,,,,,,,,,,,,,6360,,2,31,,23410,,4,2,,,,,,,,,,,,,,,
,6365,,55,226,,23420,,16,35,,,,,,,,,,,,,,,,,,,,,,,,6365,,4,18,,23420,,6,12,,,,,,,,,,,,,,,
